Ticker,Date,Eps_surprise,Type
TSLA,10/21/2020,38.18%,1
TSLA,07/22/2020,544.90%,1
TSLA,04/29/2020,663.64%,1
TSLA,01/29/2020,32.10%,1
TSLA,10/23/2019,1340.00%,1
TSLA,07/24/2019,-107.41%,-1
TSLA,04/24/2019,-139.67%,-1
TSLA,01/30/2019,-7.21%,-1
TSLA,10/24/2018,627.27%,1
TSLA,8/1/2018,-10.07%,-1
TSLA,5/2/2018,0.59%,1
TSLA,2/7/2018,4.70%,1
TSLA,11/1/2017,-19.18%,-1
TSLA,8/2/2017,31.44%,1
TSLA,5/3/2017,-141.82%,-1
TSLA,02/22/2017,-430.77%,-1
TSLA,10/26/2016,231.48%,1
TSLA,8/3/2016,-89.29%,-1
TSLA,5/4/2016,-5.56%,-1
TSLA,2/10/2016,-1342.90%,-1
GOOGL,10/29/2020,43.86%,1
GOOGL,07/30/2020,20.17%,1
GOOGL,04/28/2020,-5.10%,-1
GOOGL,2/3/2020,20.30%,1
GOOGL,10/28/2019,-19.49%,-1
GOOGL,07/25/2019,23.67%,1
GOOGL,04/29/2019,12.58%,1
GOOGL,2/4/2019,15.25%,1
GOOGL,10/25/2018,23.91%,1
GOOGL,07/23/2018,24.34%,1
GOOGL,04/23/2018,7.82%,1
GOOGL,2/1/2018,-4.15%,-1
GOOGL,10/26/2017,13.52%,1
GOOGL,07/24/2017,14.12%,1
GOOGL,04/27/2017,6.77%,1
GOOGL,01/26/2017,-1.18%,-1
GOOGL,10/27/2016,9.19%,1
GOOGL,07/28/2016,8.19%,1
GOOGL,04/21/2016,-5.35%,-1
GOOGL,2/1/2016,6.17%,1
WMT,11/17/2020,12.61%,1
WMT,08/18/2020,27.87%,1
WMT,05/19/2020,7.27%,1
WMT,02/18/2020,-3.50%,-1
WMT,11/14/2019,6.42%,1
WMT,08/15/2019,4.10%,1
WMT,05/16/2019,10.78%,1
WMT,02/19/2019,6.02%,1
WMT,11/15/2018,5.88%,1
WMT,08/16/2018,6.61%,1
WMT,05/17/2018,1.79%,1
WMT,02/20/2018,-2.21%,-1
WMT,11/16/2017,3.09%,1
WMT,08/17/2017,0.93%,1
WMT,05/18/2017,4.17%,1
WMT,02/21/2017,0.78%,1
WMT,11/17/2016,2.08%,1
WMT,08/18/2016,4.90%,1
WMT,05/19/2016,11.36%,1
WMT,02/18/2016,2.05%,1
DIS,11/12/2020,70.59%,1
DIS,8/4/2020,118.60%,1
DIS,5/5/2020,-27.71%,-1
DIS,2/4/2020,6.99%,1
DIS,11/7/2019,12.63%,1
DIS,8/6/2019,-23.30%,-1
DIS,5/8/2019,1.26%,1
DIS,2/5/2019,17.20%,1
DIS,11/8/2018,12.98%,1
DIS,8/7/2018,-5.08%,-1
DIS,5/8/2018,9.52%,1
DIS,2/6/2018,16.67%,1
DIS,11/9/2017,-4.46%,-1
DIS,8/8/2017,3.27%,1
DIS,5/9/2017,3.45%,1
DIS,2/7/2017,4.73%,1
DIS,11/10/2016,-4.35%,-1
DIS,8/9/2016,0.62%,1
DIS,5/10/2016,-2.86%,-1
DIS,2/9/2016,13.19%,1
XOM,10/30/2020,35.71%,1
XOM,07/31/2020,-11.11%,-1
XOM,5/1/2020,1225.00%,1
XOM,01/31/2020,-6.82%,-1
XOM,11/1/2019,6.25%,1
XOM,8/2/2019,7.35%,1
XOM,04/26/2019,-23.61%,-1
XOM,2/1/2019,39.81%,1
XOM,11/2/2018,20.66%,1
XOM,07/27/2018,-26.98%,-1
XOM,04/27/2018,-4.39%,-1
XOM,2/2/2018,-16.98%,-1
XOM,10/27/2017,4.49%,1
XOM,07/28/2017,-6.02%,-1
XOM,04/28/2017,11.76%,1
XOM,01/31/2017,25.00%,1
XOM,10/28/2016,5.00%,1
XOM,07/29/2016,-35.94%,-1
XOM,04/29/2016,53.57%,1
XOM,2/2/2016,4.69%,1
